FEC_NAC,GENERO,EDO_CIVIL,NIV_ESTUDIOS,TIPO_CASA,DEP_ECONOMICOS,SUELDO_SOL,CP,DOM_ANIOS,DOM_MESES,TRA_ANIOS,TRA_MESES,HIJOS,CAP_PAGO,PUNTOS_BURO,OTRA_CUENTA,CLASE,CLASE2,CLASE3,CLASE4,VALORNUEVO,FRESCURANUEVO
20/11/1967,MASCULINO,DIVORCIADO,SECUNDARIA,PADRES,0,15000,28000,24,0,20,0,SINODATOS,1018.54,0,SI,POTENCIALES,V2F2,V2,F2,V2,F2
19/07/1992,FEMENINO,SOLTERO,LICENCIATURA,FAMILIARES,0,6000,28970,2,0,0,6,NO,909.41,166.08,NO,CAMPEONES,V5F4,V5,F4,V5,F5
30/04/1994,FEMENINO,SOLTERO,LICENCIATURA,PRESTADA,0,6000,28989,3,0,4,0,NO,909.41,20,NO,LEALTAD,V4F3,V4,F3,V4,F5
18/12/1994,FEMENINO,SOLTERO,LICENCIATURA,PADRES,0,3000,28000,21,0,0,3,NO,750,0,SI,POTENCIALES,V3F2,V3,F2,V3,F2
02/09/1991,MASCULINO,CASADO,LICENCIATURA,RENTADA,0,6000,28450,2,0,2,0,SINODATOS,763.79,134.64,SI,POTENCIALES,V1F1,V1,F1,V1,F2
03/11/1980,FEMENINO,CASADO,PRIMARIA,PROPIA,0,20000,28000,17,0,4,0,NO,1091.29,0,SI,POTENCIALES,V2F2,V2,F2,V3,F2
17/02/1994,FEMENINO,UNIONLIBRE,SECUNDARIA,FAMILIARES,0,3600,28000,3,0,3,0,SINODATOS,900,0,NO,PERDIDOS,V1F1,V1,F1,V3,F3
02/07/1980,FEMENINO,UNIONLIBRE,BACHILLERATO,PROPIA,0,7000,28000,3,4,3,0,NO,800.28,368,NO,POTENCIALES,V2F2,V2,F2,V3,F3
14/01/1986,MASCULINO,CASADO,SECUNDARIA,PROPIA,0,13000,28000,3,0,9,0,SINODATOS,1705.15,668,NO,POTENCIALES,V1F1,V1,F1,V2,F2
13/07/1992,MASCULINO,SOLTERO,BACHILLERATO,PADRES,0,5000,28000,18,0,3,0,NO,1250,0,NO,PERDIDOS,V1F1,V1,F1,V2,F2
10/04/1998,FEMENINO,SOLTERO,BACHILLERATO,PADRES,0,6000,28400,0,2,3,0,NO,909.41,0,NO,PERDIDOS,V1F1,V1,F1,V2,F2
10/10/1987,FEMENINO,SOLTERO,LICENCIATURA,PADRES,0,10000,28000,10,0,6,0,NO,3000,495,NO,LEALTAD,V4F3,V4,F3,V4,F4
29/05/1968,FEMENINO,CASADO,SECUNDARIA,PROPIA,0,3400,28550,3,0,2,0,NO,952,0,NO,LEALTAD,V3F4,V3,F4,V3,F5
27/10/1991,FEMENINO,SOLTERO,LICENCIATURA,PADRES,0,15600,28800,8,0,0,2,NO,1591.47,106.6,NO,PERDIDOS,V0F0,V0,F0,V2,F2
15/02/1994,FEMENINO,SOLTERO,LICENCIATURA,PROPIA,0,9000,28000,5,0,1,0,NO,1847.25,3.76,NO,LEALTAD,V3F3,V3,F3,V4,F4
02/04/1977,FEMENINO,CASADO,PRIMARIA,PAGANDOLA,0,4000,28983,6,0,3,0,SINODATOS,711.79,0,NO,POTENCIALES,V3F2,V3,F2,V3,F2
20/08/1992,MASCULINO,SOLTERO,LICENCIATURA,PADRES,0,15200,28000,24,0,1,0,NO,1420.96,0,SI,PERDIDOS,V1F1,V1,F1,V2,F2
26/06/1996,MASCULINO,SOLTERO,SECUNDARIA,PADRES,0,8000,28000,20,0,1,0,NO,909.41,0,NO,PERDIDOS,V1F1,V1,F1,V2,F2
10/07/1986,MASCULINO,CASADO,BACHILLERATO,PADRES,0,8000,28000,29,0,5,0,SINODATOS,1477.79,0,NO,POTENCIALES,V3F2,V3,F2,V4,F4
09/09/1986,MASCULINO,SOLTERO,BACHILLERATO,PAGANDOLA,0,8000,28983,1,0,2,0,NO,800.29,294,SI,PERDIDOS,V2F1,V2,F1,V3,F2
26/12/1993,FEMENINO,CASADO,LICENCIATURA,FAMILIARES,0,14000,28000,1,0,7,0,NO,1847.25,0,NO,LEALTAD,V4F3,V4,F3,V5,F5
07/09/1981,MASCULINO,SOLTERO,LICENCIATURA,PADRES,0,12000,28450,20,0,13,0,NO,3273.89,408.56,NO,POTENCIALES,V3F2,V3,F2,V4,F3
13/11/1981,FEMENINO,UNIONLIBRE,SECUNDARIA,PROPIA,0,10000,28000,3,0,3,0,SINODATOS,1591.47,192,NO,POTENCIALES,V2F2,V2,F2,V3,F3
18/03/1995,FEMENINO,SOLTERO,BACHILLERATO,FAMILIARES,0,10000,28000,2,0,1,0,NO,909.41,0,NO,ATENCION ALTA,V2F2,V2,F2,V2,F2
21/10/1969,FEMENINO,UNIONLIBRE,SECUNDARIA,PROPIA,0,8000,28000,1,0,26,0,NO,1091.29,297,NO,PERDIDOS,V1F1,V1,F1,V1,F1
15/03/1997,FEMENINO,SOLTERO,BACHILLERATO,PADRES,0,4400,28989,1,3,1,0,NO,909.41,5.7,SI,CAMPEONES,V4F4,V4,F4,V5,F5
10/10/1959,FEMENINO,SOLTERO,PRIMARIA,RENTADA,0,4000,28040,0,6,4,0,SINODATOS,682.54,0,NO,POTENCIALES,V1F2,V1,F2,V2,F2
31/05/1994,FEMENINO,SOLTERO,LICENCIATURA,PRESTADA,0,3500,28968,1,0,0,8,NO,875,0,NO,PERDIDOS,V1F1,V1,F1,V2,F2
10/05/1994,MASCULINO,SOLTERO,LICENCIATURA,PADRES,0,13300,28000,12,0,0,5,NO,1420.96,30.96,NO,ATENCION MEDIA,V1F2,V1,F2,V2,F2
10/09/1991,FEMENINO,SOLTERO,CARRERATECNICA,PADRES,0,6000,28989,14,0,5,0,NO,1705.15,201.88,NO,CAMPEONES,V3F5,V3,F5,V4,F5
22/10/1979,MASCULINO,UNIONLIBRE,LICENCIATURA,PROPIA,0,5000,28000,1,0,0,4,SINODATOS,727.53,38,NO,POTENCIALES,V1F2,V1,F2,V2,F2
07/04/1998,FEMENINO,SOLTERO,BACHILLERATO,PADRES,0,3000,28550,18,0,1,0,NO,750,0,NO,ATENCION ALTA,V3F2,V3,F2,V4,F3
