11-26,56655,19700,38143140,9.80,46,8271,166
11-27,260759,96590,187017558,8.07,24,65210,9391
11-28,97054,29217,56569955,9.48,102,20809,1532
11-29,39668,9821,19015420,9.88,151,3722,169
11-30,106952,32628,63174334,9.68,107,9347,1376
11-31,113570,51808,100310650,9.43,90,30141,4644
11-32,72411,26581,51466132,9.71,155,16003,1453
11-33,115656,39332,76154618,9.55,158,16021,2433
11-3,160383,56674,109732199,9.08,104,30142,1781
11-34,5120,1415,2739723,9.99,198,258,0
11-35,79214,27587,53413949,9.82,49,15989,1682
11-36,6389,1482,2869448,9.95,102,372,0
11-37,189567,67139,129994532,8.98,42,22221,3007
11-38,10252,4009,7762226,9.95,153,1406,0
11-39,33014,10019,19398788,9.80,93,2891,0
11-40,18175,4436,8588983,9.96,183,253,0
11-41,59305,23327,45165737,9.84,79,15680,1712
11-42,141058,44591,86337094,9.36,43,23747,1914
11-43,19820,4741,9179524,9.96,190,535,0
11-44,55782,19951,38629126,9.81,48,8797,763
11-45,10592,1701,3293476,9.99,235,265,0
11-46,70782,20436,39568183,9.69,79,5006,256
14-1,18551,8818,12925424,9.91,125,2045,229
14-2,23241,7708,11298386,9.89,23,2750,0
14-3,21714,9395,13771191,9.95,95,6766,1437
14-4,5385,1842,2700004,9.99,43,170,0
14-5,13435,4858,7120856,9.97,103,1774,0
14-6,57340,20576,30160301,9.87,92,18011,773
14-8,72812,30293,44403479,9.86,143,20824,1272
14-10,6717,2151,3152936,9.99,38,131,0
14-11,5475,1257,1842511,10.00,115,66,0
14-12,3899,1251,1833716,9.99,156,134,0
14-13,60480,21202,31077892,9.87,161,15253,2959
14-14,8264,2869,4205380,9.99,42,320,0
14-15,57559,23686,34718939,9.79,176,16363,1507
14-16,38291,12513,18341555,9.97,149,2814,0
14-17,12453,3806,5578835,9.98,137,775,0
14-19,7341,1324,1940719,9.98,335,29,0
14-20,10303,3823,5603753,9.98,403,538,0
14-117,4110,1377,2018407,10.00,190,50,0
14-21,21475,7320,10729656,9.98,278,2570,0
14-30,48839,19832,29069746,9.79,80,15452,816
14-31,3383,678,993812,10.00,263,38,0
14-32,6102,1679,2461078,9.99,101,76,0
14-22,39020,15935,23357523,9.92,283,9895,3199
14-24,26174,9183,13460441,9.91,45,10689,575
14-25,18091,6398,9378188,9.95,270,2644,0
14-26,6088,2166,3174923,9.99,96,279,0
14-27,18138,3802,5572972,9.97,253,249,0
14-28,2120,701,1027526,10.00,150,16,0
14-29,14176,4382,6423136,9.99,141,1227,0
14-33,21132,6079,8910598,9.98,123,2145,0
14-34,1862,505,740229,10.00,159,67,0
14-9,19900,6656,9756365,9.95,109,1236,0
14-37,23845,8934,13095457,9.96,169,6850,319
14-54,5379,1796,2632577,10.00,149,272,0
14-70,138226,68794,100838245,9.29,89,22489,5141
14-35,51396,19496,28577237,9.82,148,7750,1020
14-36,18632,6253,9165647,9.97,110,2794,0
14-79,14278,5461,8004734,9.96,72,528,0
14-38,4184,1235,1810263,9.99,137,101,0
14-39,1495000,640805,939291969,3.59,67,783886,43907
14-40,9761,2362,3462220,9.99,188,135,0
14-41,5633,1441,2112218,9.99,302,107,0
14-42,8787,2311,3387464,9.98,422,150,0
14-44,41060,18560,27205248,9.87,75,2935,0
14-45,18157,5799,8500174,9.94,116,1128,0
14-46,31948,12970,19011426,9.93,173,5379,0
14-47,24753,8770,12855066,9.93,131,1836,0
14-48,17884,6410,9395778,9.96,141,1214,0
14-49,9917,2657,3894631,9.99,180,83,0
14-50,42164,17962,26328700,9.80,52,5637,1017
14-51,13218,6809,9980632,9.95,91,2112,0
14-52,5638,1742,2553424,9.99,110,157,0
14-18,64269,21166,31025123,9.87,163,19299,1953
14-43,20161,8840,12957672,9.94,239,1352,0
14-57,3688,1336,1958309,10.00,93,287,0
14-53,164981,63731,93416900,9.25,116,35872,2570
14-55,18924,7241,10613858,9.95,111,2150,129
14-58,14245,5371,7872812,9.97,210,2660,0
14-59,11671,5024,7364179,9.96,113,2681,0
14-60,5088,1287,1886485,9.99,197,72,0
14-61,19452,2577,3777367,9.98,211,76,0
14-62,3526,1026,1503911,10.00,145,85,0
14-63,92967,38056,55782485,9.73,121,26800,1480
14-64,30097,9610,14086338,9.92,169,1175,365
14-65,11192,3415,5005707,9.98,142,502,0
14-66,48408,16459,24125602,9.91,103,7580,896
14-67,203342,123157,180523531,9.26,308,101057,13137
14-69,8379,1961,2874434,9.99,133,125,0
14-71,3117,903,1323617,10.00,118,97,0
14-72,7349,2848,4174598,9.99,112,229,0
14-113,14939,5512,8079490,9.96,99,973,141
14-125,18952,6636,9727049,9.96,166,1301,0
14-73,65219,27840,40807872,9.84,147,18582,1573
14-7,9420,3071,4501472,9.99,107,200,0
14-74,15890,6109,8954572,9.98,147,1710,0
14-75,3783,1033,1514171,9.99,24,155,0
14-76,3122,913,1338275,10.00,241,31,0
14-77,27777,8141,11933078,9.96,59,2724,229
14-78,40000,14089,20651656,9.92,156,5042,493
14-98,575942,274024,401664379,7.77,75,140201,17950
14-80,5643,1866,2735183,9.99,258,127,0
14-81,3033,698,1023128,9.98,278,46,0
14-56,2028,538,788600,10.00,186,44,0
14-82,34829,14034,20571037,9.93,57,8530,767
14-83,80365,30155,44201199,9.82,78,13522,1620
14-84,15126,5042,7390564,9.97,207,400,0
14-85,37986,12736,18668429,9.93,115,10975,1547
14-86,19506,6384,9357667,9.98,70,1058,74
14-87,16847,5335,7820043,9.99,116,2963,424
14-89,3703,1222,1791208,9.98,33,119,0
14-88,16573,5963,8740565,9.96,96,2769,0
14-90,7047,2371,3475412,9.99,111,1058,0
14-91,40105,12308,18041066,9.93,201,8107,1248
14-92,10317,3156,4626065,9.98,96,372,0
14-93,104377,58723,86076173,9.63,140,41678,2234
14-94,40697,15463,22665665,9.89,103,12507,1708
14-95,9608,3206,4699355,9.99,93,342,0
14-96,20961,7088,10389590,9.97,92,2346,72
14-97,416626,214091,313814588,7.92,46,90986,10763
14-99,10310,3231,4736000,9.99,145,90,0
14-100,35050,12279,17998558,9.97,360,4679,178
14-101,408759,224424,328960699,8.38,81,78048,10523
14-102,5960,2210,3239418,10.00,138,582,0
14-103,7919,2841,4164338,9.99,134,267,0
14-104,4412,1270,1861566,9.98,270,93,0
14-105,19710,8051,11801156,9.96,130,2430,0
14-106,4229,1333,1953911,10.00,149,106,0
14-107,6156,2159,3164662,9.98,75,382,0
14-108,34182,12573,18429503,9.94,104,10321,873
